Ülke;Harç İlk ay;Sonraki Aylar
Türkmenistan;0;0
Suriye;0;0
Nepal;0;0
Çek Cumhuriyeti;0;0
İrlanda;0;0
Danimarka;0;0
Kosova;0;0
Mısır;5;0,5
Fas;5;0,5
Irak;5;0,5
Fildişi Sahili;5;0,5
Tunus;5;0,5
Karadağ;5;0,5
Rusya;7;1,5
Etiyopya;7;1,5
Güney Kore;7;1,5
Hong Kong (Çin);7;1,5
Mikronezya Federal Devletleri;7;1,5
Cezayir;9;2,5
İspanya;9;2,5
Belarus;9;2,5
Ürdün;9;2,5
Tayvan;9;2,5
Belçika;9;2,5
Kuveyt;9;2,5
Lüksemburg;9;2,5
Singapur;9;2,5
Malta;9;2,5
Mali;14;3,5
Japonya;14;3,5
Filipinler;14;3,5
Umman;14;3,5
Kamboçya;14;3,5
Tacikistan;14;3,5
Arnavutluk;14;3,5
Makedonya;14;3,5
İsrail;14;3,5
Antarktika;25;5
Kanada;25;5
Çin;25;5
ABD;25;5
Brezilya;25;5
Avustralya;25;5
Hindistan;25;5
Arjantin;25;5
Kazakistan;25;5
Demokratik Kongo Cumhuriyeti;25;5
Grönland (Danimarka);25;5
Suudi Arabistan;25;5
Meksika;25;5
Endonezya;25;5
Sudan;25;5
Libya;25;5
İran;25;5
Moğolistan;25;5
Peru;25;5
Çad;25;5
Nijer;25;5
Angola;25;5
Güney Afrika;25;5
Kolombiya;25;5
Bolivya;25;5
Moritanya;25;5
Tanzanya;25;5
Nijerya;25;5
Venezuela;25;5
Pakistan;25;5
Namibya;25;5
Mozambik;25;5
Şili;25;5
Zambiya;25;5
Burma;25;5
Afganistan;25;5
Güney Sudan;25;5
Fransa;25;5
Somali;25;5
Orta Afrika Cumhuriyeti;25;5
Ukrayna;25;5
Madagaskar;25;5
Botsvana;25;5
Kenya;25;5
Yemen;25;5
Tayland;25;5
Kamerun;25;5
Papua Yeni Gine;25;5
İsveç;25;5
Özbekistan;25;5
Paraguay;25;5
Zimbabve;25;5
Almanya;25;5
Kongo Cumhuriyeti;25;5
Finlandiya;25;5
Vietnam;25;5
Malezya;25;5
Norveç;25;5
Polonya;25;5
İtalya;25;5
Burkina Faso;25;5
Yeni Zelanda;25;5
Gabon;25;5
Batı Sahra;25;5
Ekvador;25;5
Gine;25;5
Birleşik Krallık;25;5
Uganda;25;5
Gana;25;5
Romanya;25;5
Laos;25;5
Guyana;25;5
Kırgızistan;25;5
Senegal;25;5
Uruguay;25;5
Surinam;25;5
Bangladeş;25;5
Somaliland;25;5
Yunanistan;25;5
Nikaragua;25;5
Kuzey Kore;25;5
Malavi;25;5
Eritre;25;5
Benin;25;5
Honduras;25;5
Liberya;25;5
Bulgaristan;25;5
Küba;25;5
Guatemala;25;5
İzlanda;25;5
Macaristan;25;5
Portekiz;25;5
Sırbistan;25;5
Azerbaycan;25;5
Avusturya;25;5
Birleşik Arap Emirlikleri;25;5
Panama;25;5
Sierra Leone;25;5
Gürcistan;25;5
Sri Lanka;25;5
Litvanya;25;5
Letonya;25;5
Svalbard ve Jan Mayen (Norveç);25;5
Togo;25;5
Hırvatistan;25;5
Bosna-Hersek;25;5
Kosta Rika;25;5
Slovakya;25;5
Dominik Cumhuriyeti;25;5
Estonya;25;5
Hollanda;25;5
İsviçre;25;5
Bhutan;25;5
Gine Bissau;25;5
Moldova;25;5
Lesoto;25;5
Ermenistan;25;5
Solomon Adaları;25;5
Ekvator Ginesi;25;5
Burundi;25;5
Haiti;25;5
Ruanda;25;5
Cibuti;25;5
Belize;25;5
El Salvador;25;5
Slovenya;25;5
Yeni Kaledonya (Fransa);25;5
Fiji;25;5
Svaziland;25;5
Doğu Timor;25;5
Bahamalar;25;5
Vanuatu;25;5
Falkland Adaları (Birleşik Krallık);25;5
Katar;25;5
Dağlık Karabağ;25;5
Gambiya;25;5
Jamaika;25;5
Lübnan;25;5
Kıbrıs Cumhuriyeti;25;5
Porto Riko (ABD);25;5
Abhazya;25;5
Fransız Güney ve Antarktika Toprakları (Fransa);25;5
Pasifik Uzak Adaları Deniz Ulusal Anıtı;25;5
Filistin;25;5
Brunei;25;5
Trinidad ve Tobago;25;5
Transdinyester;25;5
Yeşil Burun Adaları;25;5
Fransız Polinezyası (Fransa);25;5
Güney Georgia ve Güney Sandwich Adaları (Birleşik Krallık);25;5
Güney Osetya;25;5
Kuzey Kıbrıs;25;5
Samoa;25;5
Mauritius;25;5
Komorlar;25;5
Faroe Adaları (Danimarka);25;5
São Tomé ve Príncipe;25;5
Turks ve Caicos Adaları (Birleşik Krallık);25;5
Kiribati;25;5
Bahreyn;25;5
Dominika;25;5
Tonga;25;5
Saint Lucia;25;5
Man Adası (Birleşik Krallık);25;5
Guam (ABD);25;5
Andorra;25;5
Kuzey Mariana Adaları (ABD);25;5
Palau;25;5
Seyşeller;25;5
Curaçao (Hollanda);25;5
Antigua ve Barbuda;25;5
Barbados;25;5
Heard Adası ve McDonald Adaları (Avustralya);25;5
Saint Vincent ve Grenadinler;25;5
Svalbard ve Jan Mayen (Norveç);25;5
ABD Virjin Adaları (ABD);25;5
Grenada;25;5
Saint Helena (Birleşik Krallık);25;5
Maldivler;25;5
Cayman Adaları (Birleşik Krallık);25;5
Saint Kitts ve Nevis;25;5
Niue (Yeni Zelanda);25;5
Ağrotur ve Dikelya (Birleşik Krallık);25;5
Saint Pierre ve Miquelon (Fransa);25;5
Cook Adaları (Yeni Zelanda);25;5
Amerikan Samoası (ABD);25;5
Marshall Adaları;25;5
Aruba (Hollanda);25;5
Lihtenştayn;25;5
Britanya Virjin Adaları (Birleşik Krallık);25;5
Wallis ve Futuna (Fransa);25;5
Christmas Adası (Avustralya);25;5
Jersey (Birleşik Krallık);25;5
Montserrat (Birleşik Krallık);25;5
Anguilla (Birleşik Krallık);25;5
Guernsey (Birleşik Krallık);25;5
San Marino;25;5
Britanya Hint Okyanusu Toprakları (Birleşik Krallık);25;5
Saint Martin (Fransa);25;5
Bermuda (Birleşik Krallık);25;5
Bouvet Adası (Norway);25;5
Pitcairn Adaları (Birleşik Krallık);25;5
Norfolk Adası (Avustralya);25;5
Sint Maarten (Hollanda);25;5
Makao (Çin);25;5
Tuvalu;25;5
Nauru;25;5
Saint Barthélemy (Fransa);25;5
Cocos Adaları (Avustralya);25;5
Tokelau (Yeni Zelanda);25;5
Cebelitarık (Birleşik Krallık);25;5
Wake Adası (ABD);25;5
Clipperton Adası (Fransa);25;5
Navassa Adası (ABD);25;5
Ashmore ve Cartier Adaları (Avustralya);25;5
Spratly Adaları (tartışmalı);25;5
Mercan Denizi Adaları (Avustralya);25;5
Monako;25;5
Vatikan;25;5
Türk Soylu;0;0